"ID","WH","Location","Description","Entry_By","Entry_On","ZONE","LOCLEVEL","STLOCATION","SLOC","LOCATIONTYPE","ZONEBARCODE","AISLES","CUSTID","PRIORITYLOCATION","LOCATIONSTATUS","CCSTATUS","AISLESBARCODE","LOCATIONBARCODE"
1,DEL2,FLOOR A,"",ADMIN,2020-04-24,,,,,,,,HLL01,,,,,
2,DEL2,FLOOR,"",ADMIN,2020-04-26,,,,,,,,HLL01,,,,,
3,DEL1,FLOOR,"",ADMIN,2020-04-26,,,,,,,,HLL01,,,,,
4,GGNWH2,P-1,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
5,GGNWH2,P-2,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
6,GGNWH2,P-3,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
7,GGNWH2,P-4,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
8,GGNWH2,P-5,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
9,GGNWH2,P-6,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
10,GGNWH2,P-7,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
11,GGNWH2,P-8,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
12,GGNWH2,P-9,"",MAKHAN SINGH,2020-04-27,,,,,,,,HLL01,,,,,
13,MAA,F1,"",Rajini Nagaiah,2020-04-28,abc,,,,,abc,R1-R2,HLL01,,,,,
14,GGNWH1,ROW1,"",PARDEEP,2020-04-28,,,,,,,,HLL01,,,,,
15,GGNWH1,ROW2,"",PARDEEP,2020-04-28,,,,,,,,HLL01,,,,,
16,GGNWH1,ROW3,"",PARDEEP,2020-04-28,,,,,,,,HLL01,,,,,
17,GGNWH1,ROW4,"",PARDEEP,2020-04-28,,,,,,,,HLL01,,,,,
18,GGNWH1,ROW5,"",PARDEEP,2020-04-28,,,,,,,,HLL01,,,,,
19,MAA,F2,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
20,MAA,F3,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
21,MAA,F4,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
22,MAA,F5,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
23,MAA,F6,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
24,MAA,F7,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
25,MAA,F8,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
26,MAA,F9,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
27,MAA,F10,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
28,MAA,F11,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
29,MAA,F12,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
30,MAA,F13,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
31,MAA,F14,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
32,MAA,F15,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
33,MAA,F16,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
34,MAA,F17,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
35,MAA,F18,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
36,MAA,F19,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
37,MAA,F20,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
38,MAA,F21,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
39,MAA,F22,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
40,MAA,F23,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
41,MAA,F24,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
42,MAA,F25,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
43,MAA,F26,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
44,MAA,F27,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
45,MAA,F28,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
46,MAA,F29,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
47,MAA,F30,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
48,MAA,F31,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
49,MAA,F32,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
50,MAA,F33,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
51,MAA,F34,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
52,MAA,F35,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
53,MAA,F36,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
54,MAA,F37,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
55,MAA,F38,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
56,MAA,F39,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
57,MAA,F40,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
58,MAA,F41,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
59,MAA,F42,OK Stock Location,Rajini Nagaiah,2020-04-29,abc,,,,,abc,R1-R2,HLL01,,,,,
61,CHDWH,FLOOR-A,"",AMIT,2020-04-29,,,,,,,,HLL01,,,,,
63,WHGUJ,"1st FLOOR","",SHRILESH,2020-04-29,,,,,,,,HLL01,,,,,
64,BOM,F-1-6,"",VIRAL PAREKH,2020-04-29,,,,,,,,HLL01,,,,,
67,AWLKOL,AB-R3,"",SANJAY MAICK,2020-05-01,,,,,,,,HLL01,,,,,
68,MAA,F43,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
69,MAA,F44,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
70,MAA,F45,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
71,MAA,F46,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
72,MAA,F47,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
73,MAA,F48,OK Stock Location,Rajini Nagaiah,2020-05-01,abc,,,,,abc,R1-R2,HLL01,,,,,
